total_pnl,wallet
6939459.03,DCAKxn5PFNN1mBREPWGdk1RXg5aVH9rPErLfBFEi2Emb
6896694.53,7CzQeAEcjBDoG2HjapQzg2MYR6HZ9EA7FCdATz1Ui54h
6881454.48,DCAKuApAuZtVNYLk3KTAVW9GLWVvPbnb5CxxRRmVgcTr
6861472.13,D4uCNcBKAbG9NAkmhQg7pBiztuejNzbWrZDcZmFGut81
6836322.15,HYWo71Wk9PNDe5sBaRKazPnVyGnQDiwgXCFKvgAQ1ENp
6800651.55,3nDAuoB7KN8BWnWwQNzKZhRTjv13kPSN3bqxmC9ZAE3W
6772616.31,6bKUguaAgYYbxwvzg7ge4vNTHtrVTmKBSfJRWVvNwAPr
6674255.95,HoJScktcrdbUXazMU1oggQ3b9hqEFi2fd3UCppfZVym6
6516843.35,EUES49UdAkevnREj5YShNXpWjX5DN44uCJQo7yfaggot
6497162.85,AQ8QbR55xh6sv3JVP8kdW64gCGp62Hun3cxqDwGtA4R8
6351838.04,DCAK36VfExkPdAkYUQg6ewgxyinvcEyPLyHjRbmveKFw
6281825.05,FUCtc9NkQXWKFDJyA4Xjkvm1CdYNEnvTZkXpThNexnij
6265487.6,8zFZHuSRuDpuAR7J6FzwyF3vKNx4CVW3DFHJerQhc7Zd
6125880.59,EKDB7EyLPD7a2Mqo7Kh8Y4aR7gD26VErY3yj41eZjwCJ
6109807.78,4VkU1YmVyTwDwZhS8nAFSPLsvnNJDe8oNLuadMaYty9d
6051547.45,FKy2QyHNz2H7K8c4pZnifdP3ogrG4JujwNEB5bTzFEL3
5933619.55,GTiCQZHknSenLbpbhjrztxDGwWr2fUPJDkefjKRZTwVa
5868358.46,APVWHzPsJWxxa3gEKACqXSHd2c1mZwdzRBoaSVmciUe3
5810709.74,GzRsww2BLfQoCJVwiBcM39Y117FJNtXW4qMJTs9pY4wZ
5698362.48,DMcgws83YcfmESd5wBM79TPuBtednUAj866TXzy1JnCH
5690669.38,E37Yg3VeA9voGaip7mopW8RM7Bu3t1CSddMCqvtCB98H
5654066.2,JD38n7ynKYcgPpF7k1BhXEeREu1KqptU93fVGy3S624k
5652840.69,9wvUZxTESmPxxCt66Y9NbYhQuW9MumzHTP9rw5n4YcG4
5519014.77,AMUdu2q7HUGfMPs4RgysJ9PY7WdDtZvYWNRWYinSxA5d
5511487.52,9FHPLy6DEtFYYQouyP46WPFYH3wyGSD2sEFwibZjqkfL
5446649.66,C1KATGgpPPJJhy9VZUJTg6ryi1mwX2tWebLvgD8ge7Ym
5434240.84,AtqScWPNA72St8uANmneoX7hhgXvMqthMzBckUwwqsX1
5431379.79,4RJEZA7VeDvgKbNpmQUNzVGRcpCpGB8XhUzWz4mtbrGM
5431369.88,FzsrDVUD9pC6dD7483d5upsFKoDu2sjwjWAdUa1dCPRR
5425023.65,FyzHhXQZykB3QEaAC1pDdAms3pgRB29v3eZJ2GZqNBG
5416199.72,2skc5pq7gyi8rauSTqy92bdVDC3KE5qGJuJW7WPeRCkc
5412194.69,B8Q8KGFrybnUUF1EJBZ7proVT9Djd1yi58Tr8VmFKw61
5393907.68,Hx9ZKqg9XVZkUWzgcFa2fjEgDHCFr3KLXBmxfwoBkyQd
5300671.19,9ay8FGy478kNdyMGQ2dd2MGcBbrXQGm3ueh2VpYmHXC4
5299582.12,CGE9PLunzSUzyVHU8RBXuvxkBEzTNrAdnXgVW9L676Tu
5263413.71,D1DhSivDh6nuS3ecXN3ddx38vBxxBbj35Ak98gwHoGnR
5195341.28,BT2sdwJeDWqXNUNBJwtKWBD7RjquACfjo1rT9vpZLUSA
5146300.62,B2VdH9Xqfu2EPjmYfYMuNU4i4e5Q7PBFBUn8htSGqgd
5136619.54,HQKRiZCreXr8WsgDUPqQfftrrHK4XLhacy4yyjnowYx
5129667.5,6rtdKYx1KD6zSAzf2iMNGCKfEncYZRhhKzUxYEd5Biam
5056168.35,CqWVLXaj8r6vud5SfFr81SzmFoqXa5daLi1WbpQZxuhV
5041662.96,6H6gtwnKzTs6ttz9Ks1bQeqA3okPuSo3AsbdUGepWLRK
4991648.64,5W7UZNQk6oCFbNdPowRJZpByErqzifQFVNVtN4uKb3cV
4964700.22,Bqf76TrvZr637xvei14mHr1odxBTvKQccBYXhxJjp2RT
4954519.59,FVDo2hTokZeLcuGxYJP9WVAGsnmELhPi9yuHMSNmoU8s
4861309.86,J2ZRUaFrh1hi6SeGKNxBvy2qJ6uaT8FhiZAeJAreCs7Y
4857549.1,27nKnCT3DD5NLJw3xbq3KDL3thx6KTe6DmrRCbi2uszE
4857496.68,3XcHbc5Z7GfM3nXkP7NE8GT7ZawVsekxEfmPCofD1kcc
4845529.54,23ESL1T9mUcdMNUN48gmRARXtWY6kithUgSu3NN8vHV6
4845153.61,8LVFa3jddFQycBLND4pE4XAUVoFRENUpRRQmwMTgEe8E
4737842.19,HW2WU2i93vTFurADDyoq6dFNL7ai8CefKMQUBxXUhQqE
4734750.32,FGwLJrzyP53Shopum2NdBejUTaHVyNBraD81gt4CWQpC
4721416.02,GzzKoRRfBpebJ5DL36xzciRdJGE69hMNt3SZ9UWukUKU
4710874.32,5vrX4aLvwhTzYCh6LpXX5bJbwrgkcjTVQiUBN8DF7n2q
4674018.81,99VXriv7RXJSypeJDBQtGRsak1n5o2NBzbtMXhHW2RNG
4666545.28,GmM5UFm8xu6TnZD7avwYcQ1zq25hD5yvHfYyAksHu9vB
4635590.09,Haee7H5bKDCnm6dXLkeR9DcWw9Puhnkwk71QBUSHcpUt
4605092.41,DRbDtEQWUPynTUuX2H1Nw8Aj5qKDB8gBFm95JYDcLdFv
4590599.18,8bsHpmidKupAbZ7jcgAwUiciEdSZy47dRwMifiQwueVT
4585223.63,FB17KCgFjwtEWduJAykvRcJnM5nYZvpHfWWg135V18KR
4584487.87,FB6RNQ5KQj4fH4qJ5EFKiPBkgD4LXaPfvLxj2P2NrHMq
4487105.71,Hjp6VoboXdTF2wSmSnrVttQaTTXD1eX7r9HAGVgpLBDE
4461458.8,JD38n7ynKYcgPpF7k1BhXEeREu1KqptU93fVGy3S624k
4453141.23,Hca6WQUNMQZsGtxX5aSZKsZT9risZK82nvL8zush7ged
4425947.01,FYEoJK4QWhxQfdTFk5ekEK3xWKPBojwa9wNKaJZ32Reo
4387386.44,JD38n7ynKYcgPpF7k1BhXEeREu1KqptU93fVGy3S624k
4378820.77,2Uw7SpQWnoPo7gobKo9rUu6gZ5QizvSacmZARpCXTAvs
4371549.4,ApYz85FDJPFZSPB7rE4D2MSCKSyhCVqvvJNE1ybcfqQF
4362218.65,6vavjVgB77AijuHzf2FbzJL9CcaXFC58T377TfkgbGYw
4342150.83,2HbSDQ6eV4bUREdTd2juVcsA42ppFLjyCmmhETRWQBjz
4281662.03,9AvTqkyGVeZE8q2MrEXaQsAqqDYVj3xot2WeHcTc328
4273392.11,73utv4qKKe2wi2ZnFamx3459bgXtZgVbMdEjakK4dhCY
4246651.11,BH84Uo2YAnyWRUWeWyfFzttRmE51V682xUaD6NrLHM88
4243374.58,JD25qVdtd65FoiXNmR89JjmoJdYk9sjYQeSTZAALFiMy
4188470.6,5urc4fxBh7RjYVjvXv24XEuK38uQV8hxYo7niaEDGQs9
4181314.21,CPJQEwQkDFSJut9U2zZR1H5HyNg5JYZjg7EUXVMMSwWd
4089574.88,GBC3eETdXyTZqH5j1kMbtmLpPPUT3QyDUYktEAu1BTZY
4086281.47,BVb5iFPRfWsxq3n69sVsr4Qg5UfFgx5WxcU9WBSeM5ao
4076738.29,6VxNqkH7oUMBXUaa3QpCsmeG5pejKPzGH5tT57xNC1An
4076295.63,EGSb4HyLm8sYdQATumMRFUN2abnFrqXJ3VXGqqxKFtQv
4053691.62,362DD2MPEFQUxvJRVpna5kC51Rrd1RKx4TFw3pPdi8xr
4022087.02,EA1Es6599pm6JBr1hkPVaWtTW4cCZbAcnj5ikgkfaVyE
4018011.92,DFLsswviB5berifRS1qFXJhQMdSVkUYmu16hxrVbFtbm
3991267.77,7ZhRXgBjphKVeufAMUsmG8hi1PwdFRDWiSbP5yzm2g3Y
3987444.98,ARotCjvr7kwk3eLYALJJ1RwKMGn9Dba4uFi5eGt3btKM
3987075.5,4zNtQwBpuCWuSAWpnSU8ty1NdNUVDMsHBw3w9V9DNAWt
3945635.67,C5YSQjFWwdPcQnEyh51Gt8tTWzRpzAPAyqUi9GX526SD
3943399.22,iws9UrXUKHjzQ1TNEcn6hbY6DSCvrRWNUb1ckNtiArK
3932116.8,E4EYgRhUGZJXsYjiJhu4yRpjzYyh85GR1R2XnZ1zB5JW
3908192.03,HwWarRgiex3mFTY78VbXc3G5gbVtMEYjqBgMxuYqcHBd
3904578.05,DaDa84eyo62G78Snq6Lob6wDac2MQoYUarjPwLtrxiXg
3897048.67,JDS3XRjS9xK9hrKRckwNNRsYhcMzyoQbMiqdFHSUVEeK
3882870.82,CMDarQhUrahd9f3UNEaC5yfBi5ha8gsLEwP9aHZQeDLG
3852214.94,9vWutdTBs66hWkeCmxaLFpkKy4q5RSe8DsFjfdxj5yFA
3821807.36,2JrTudNHthFHtgHBoJdx9xKgGRAYrir7AUw7shvdW5uR
3815959.54,HptR9xKJ8dK1tEyktNMnLZZW6wUW3HGN7FzmEUSnx5uk
3807142.09,E1ZVGeWzdRmLjXnUYBzpLUwPmbaBvn1xTQELWsWKrDau
3795075.76,97J9C2fszAk41GyeLB4bVZpXCXphLKk3YZ5foqBpZy6W
3776570.71,CjbyWLVSU1HaKDrqr9SbAyQZQWFswHJqaVFeJMSKick7
3766473.38,8osetrvj4ZBTrMYkQb91dJyE7VFoAEqq76dXn9tvBzKD
3756381.85,6EM5zyfqE8XsEvxdvTApLcr1a4UhvntQ33Uztg8Z3X4j
3748112.26,6JwYriq4wV5GHfyEa5HoYwaKS1YCziauime719Uo2z1b
3738741.35,FbUKakiATbZdMExvvspdKc1PgcwX8LYtQ91UHsPfv4ha
3722814.32,5YET3YapxD6to6rqPqTWB3R9pSbURy6yduuUtoZkzoPX
3693770.69,5ow9M5AZUDUm3p3PAeBYMA8g2n65fKRMrfdbqEyE2b6U
3652119.0,6CPKgRCeai3mXjrC1XwS9DoXA5dFywiQVjj9GpzUfChh
3649925.89,kCVKJ3nuDH1twVXUJCWXsnPTswiHgEV3heYhd1g81E2
3640441.83,Bo5nL4Ftpvc5khB22fXaMty188XHUShkNVgDMwMC7K6y
3620979.57,EQa81xxSya9wTuq9a1gKCjZoLq2zo4hjnTqWdtb2dbai
3612385.08,BgALSD5UiPcDPFEL6GxSEDJrC3JvRoSrNKpvbbxJQDz4
3604261.95,4QmkHvmqoUkMvno8DRwvUkVYXCR4sRGvR7TjLPrgmQ1p
3589613.04,26ofYa1jACFCLsckB17YESqcfiHGv2K6jRTsmoxj1GAp
3578651.27,29DW1gS8BQRjP8YcJPUo35zdZDMdsAAaPRBL6XVeCVVK
3532416.91,R9wFx4oTF87JgqYmeP6t9dDKjVnaniSC9qhwFtmqSmR
3513437.33,BrXAK9Xt3D7spm929dovRVrKkpFatUk2RLTz23yq4ujd
3501622.2,BykUzUGrTgYR52WTNNeiLDeRYZ9hmuHQFDPjBeUJLaYV
