wallet,total_pnl,first_seen,last_seen
6CGE94QaRXJ5R6ekE6TF4dxWyZg7tr9VD8gqxZgLg12R,7525863.47,2024-12-04,2024-12-04
3AWDTDGZiW8joyfA52LKL7GUWLoKBCBUBLUE5JoWgBCu,7448505.97,2024-12-04,2024-12-04
7HGwBPjoGBqHnSPqv2JF9QnySKuojmUKgH8hiHYGesQA,1014354.04,2024-12-04,2024-12-04
8aUkiVYbBhwetmpbbiykiLYnAScsDbqWpRPrubBcMDND,7404868.86,2024-12-04,2024-12-04
7zp53pV8CCuwLSei1jiQXCtK8w3eqtkUGYoh63KMsBXw,7347435.63,2024-12-04,2024-12-04
HW2WU2i93vTFurADDyoq6dFNL7ai8CefKMQUBxXUhQqE,4737842.19,2024-12-04,2024-12-04
5BSH8QKXthgLH2r3cazW4Jf38DHvzqqVjQSkNJVHptyy,7199957.96,2024-12-04,2024-12-04
BH84Uo2YAnyWRUWeWyfFzttRmE51V682xUaD6NrLHM88,4246651.11,2024-12-04,2024-12-04
AKyT2CWEsvsZo2g2zGtQMwBN5BFdNxWFxo6vGPhuB6Ym,7059853.05,2024-12-04,2024-12-04
DCAKxn5PFNN1mBREPWGdk1RXg5aVH9rPErLfBFEi2Emb,6939459.03,2024-12-04,2024-12-04
7CzQeAEcjBDoG2HjapQzg2MYR6HZ9EA7FCdATz1Ui54h,6896694.53,2024-12-04,2024-12-04
DCAKuApAuZtVNYLk3KTAVW9GLWVvPbnb5CxxRRmVgcTr,6881454.48,2024-12-04,2024-12-04
D4uCNcBKAbG9NAkmhQg7pBiztuejNzbWrZDcZmFGut81,6861472.13,2024-12-04,2024-12-04
HYWo71Wk9PNDe5sBaRKazPnVyGnQDiwgXCFKvgAQ1ENp,1110718.2,2024-12-04,2024-12-04
3nDAuoB7KN8BWnWwQNzKZhRTjv13kPSN3bqxmC9ZAE3W,6800651.55,2024-12-04,2024-12-04
6bKUguaAgYYbxwvzg7ge4vNTHtrVTmKBSfJRWVvNwAPr,6772616.31,2024-12-04,2024-12-04
HoJScktcrdbUXazMU1oggQ3b9hqEFi2fd3UCppfZVym6,6674255.95,2024-12-04,2024-12-04
EUES49UdAkevnREj5YShNXpWjX5DN44uCJQo7yfaggot,6516843.35,2024-12-04,2024-12-04
DCAK36VfExkPdAkYUQg6ewgxyinvcEyPLyHjRbmveKFw,6351838.04,2024-12-04,2024-12-04
FUCtc9NkQXWKFDJyA4Xjkvm1CdYNEnvTZkXpThNexnij,6281825.05,2024-12-04,2024-12-04
8zFZHuSRuDpuAR7J6FzwyF3vKNx4CVW3DFHJerQhc7Zd,1024173.86,2024-12-04,2024-12-04
EKDB7EyLPD7a2Mqo7Kh8Y4aR7gD26VErY3yj41eZjwCJ,1259853.76,2024-12-04,2024-12-04
4VkU1YmVyTwDwZhS8nAFSPLsvnNJDe8oNLuadMaYty9d,6109807.78,2024-12-04,2024-12-04
GTiCQZHknSenLbpbhjrztxDGwWr2fUPJDkefjKRZTwVa,1508566.24,2024-12-04,2024-12-04
APVWHzPsJWxxa3gEKACqXSHd2c1mZwdzRBoaSVmciUe3,5868358.46,2024-12-04,2024-12-04
GzRsww2BLfQoCJVwiBcM39Y117FJNtXW4qMJTs9pY4wZ,5810709.74,2024-12-04,2024-12-04
DMcgws83YcfmESd5wBM79TPuBtednUAj866TXzy1JnCH,5698362.48,2024-12-04,2024-12-04
E37Yg3VeA9voGaip7mopW8RM7Bu3t1CSddMCqvtCB98H,5690669.38,2024-12-04,2024-12-04
9wvUZxTESmPxxCt66Y9NbYhQuW9MumzHTP9rw5n4YcG4,5652840.69,2024-12-04,2024-12-04
AMUdu2q7HUGfMPs4RgysJ9PY7WdDtZvYWNRWYinSxA5d,5519014.77,2024-12-04,2024-12-04
9FHPLy6DEtFYYQouyP46WPFYH3wyGSD2sEFwibZjqkfL,5511487.52,2024-12-04,2024-12-04
C1KATGgpPPJJhy9VZUJTg6ryi1mwX2tWebLvgD8ge7Ym,5446649.66,2024-12-04,2024-12-04
AtqScWPNA72St8uANmneoX7hhgXvMqthMzBckUwwqsX1,5434240.84,2024-12-04,2024-12-04
4RJEZA7VeDvgKbNpmQUNzVGRcpCpGB8XhUzWz4mtbrGM,5431379.79,2024-12-04,2024-12-04
FzsrDVUD9pC6dD7483d5upsFKoDu2sjwjWAdUa1dCPRR,5431369.88,2024-12-04,2024-12-04
FyzHhXQZykB3QEaAC1pDdAms3pgRB29v3eZJ2GZqNBG,5425023.65,2024-12-04,2024-12-04
2skc5pq7gyi8rauSTqy92bdVDC3KE5qGJuJW7WPeRCkc,5416199.72,2024-12-04,2024-12-04
B8Q8KGFrybnUUF1EJBZ7proVT9Djd1yi58Tr8VmFKw61,5412194.69,2024-12-04,2024-12-04
Hx9ZKqg9XVZkUWzgcFa2fjEgDHCFr3KLXBmxfwoBkyQd,5393907.68,2024-12-04,2024-12-04
9ay8FGy478kNdyMGQ2dd2MGcBbrXQGm3ueh2VpYmHXC4,5300671.19,2024-12-04,2024-12-04
CGE9PLunzSUzyVHU8RBXuvxkBEzTNrAdnXgVW9L676Tu,5299582.12,2024-12-04,2024-12-04
D1DhSivDh6nuS3ecXN3ddx38vBxxBbj35Ak98gwHoGnR,5263413.71,2024-12-04,2024-12-04
BT2sdwJeDWqXNUNBJwtKWBD7RjquACfjo1rT9vpZLUSA,5195341.28,2024-12-04,2024-12-04
B2VdH9Xqfu2EPjmYfYMuNU4i4e5Q7PBFBUn8htSGqgd,5146300.62,2024-12-04,2024-12-04
HQKRiZCreXr8WsgDUPqQfftrrHK4XLhacy4yyjnowYx,5136619.54,2024-12-04,2024-12-04
6rtdKYx1KD6zSAzf2iMNGCKfEncYZRhhKzUxYEd5Biam,5129667.5,2024-12-04,2024-12-04
